g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 1.488853764664011e-6 57 4 1 0.06 1 3.2712639605332464e-5 0.0889943
true 2.9167305405364274e-6 127 4 1 0.06 2 3.2712639605332464e-5 0.390973
true 3.149891098896962e-6 263 4 1 0.06 3 3.2712639605332464e-5 1.114851
true 3.843601012576414e-6 350 4 1 0.06 4 3.2712639605332464e-5 1.998641
true 4.1792035659904414e-7 51 4 1 0.061 1 3.7745858669995024e-5 0.0856861
true 3.535707992552428e-6 158 4 1 0.061 2 3.7745858669995024e-5 0.4763857
true 6.138571078673216e-7 249 4 1 0.061 3 3.7745858669995024e-5 1.0624595
true 5.400165450364369e-7 319 4 1 0.061 4 3.7745858669995024e-5 1.9167682
true 6.917238457582187e-7 66 4 1 0.062 1 4.341007974826236e-5 0.1135108
true 7.867036585507137e-7 141 4 1 0.062 2 4.341007974826236e-5 0.454247
true 1.4048345576833654e-6 247 4 1 0.062 3 4.341007974826236e-5 1.1211148
true 1.3378601435021231e-6 348 4 1 0.062 4 4.341007974826236e-5 2.071447
true 5.372335727393818e-7 60 4 1 0.063 1 4.97619071631224e-5 0.0994742
true 3.613218707620991e-6 153 4 1 0.063 2 4.97619071631224e-5 0.473403
true 8.74395754468793e-7 231 4 1 0.063 3 4.97619071631224e-5 1.2016179
true 9.279480883694902e-8 462 4 1 0.063 4 4.97619071631224e-5 2.7105583
true 2.3551524819254155e-7 55 4 1 0.064 1 5.685966778538979e-5 0.0874101
true 4.330008594843893e-6 165 4 1 0.064 2 5.685966778538979e-5 0.5814706
true 1.0733647961003179e-6 247 4 1 0.064 3 5.685966778538979e-5 1.1714105
true 5.260761217762422e-7 419 4 1 0.064 4 5.685966778538979e-5 2.4653849
true 1.5500966255022064e-7 58 4 1 0.065 1 6.476267931970257e-5 0.0957813
true 2.2492584423328132e-6 140 4 1 0.065 2 6.476267931970257e-5 0.4559069
true 1.250865995783279e-6 231 4 1 0.065 3 6.476267931970257e-5 1.058641
true 9.366079479378175e-6 330 4 1 0.065 4 6.476267931970257e-5 2.0943272
true 6.72056015449396e-7 54 4 1 0.066 1 7.353031475438847e-5 0.1100984
true 6.774420555744065e-6 145 4 1 0.066 2 7.353031475438847e-5 0.450512
true 1.9175528796155916e-5 268 4 1 0.066 3 7.353031475438847e-5 1.1260689
true 3.3057339393627316e-7 409 4 1 0.066 4 7.353031475438847e-5 2.3622775
true 4.3187907261543756e-7 49 4 1 0.067 1 8.322093729413909e-5 0.0864696
